Date,retorno_mensual_activo,posicion,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2005-02-28,0.03536042663456329,0.0,0.0,0.0,1.0,1.0353604266345633
2005-03-31,0.020979790938857823,0.0,0.0,0.0,1.0,1.057082071931723
2005-04-30,0.016687215618777396,0.0,0.0,0.0,1.0,1.0747218283927917
2005-05-31,-0.004164942048429543,0.0,-0.0,-0.0,1.0,1.0702456742593536
2005-06-30,0.0438026261774096,0.0,0.0,0.0,1.0,1.1171252454469258
2005-07-31,0.025201596952647565,0.0,0.0,0.0,1.0,1.1452785856283068
2005-08-31,0.007545993767960502,0.0,0.0,0.0,1.0,1.1539208506980365
2005-09-30,0.10466436852151695,0.0,0.0,0.0,1.0,1.274695247860158
2005-10-31,-0.09537813216084956,0.0,-0.0,-0.0,1.0,1.1531171960449451
2005-11-30,-0.007358949371687462,0.0,-0.0,-0.0,1.0,1.144631464979628
2005-12-31,-0.019580235013690328,0.0,-0.0,-0.0,1.0,1.1222193118912622
2006-01-31,0.005534465113732567,0.0,0.0,0.0,1.0,1.1284301955228815
2006-02-28,0.003349847744854584,0.0,0.0,0.0,1.0,1.1322102648685797
2006-03-31,-0.03392663422121134,0.0,-0.0,-0.0,1.0,1.0937981813508826
2006-04-30,-0.01345281907808149,0.0,-0.0,-0.0,1.0,1.0790835123092346
2006-05-31,0.005807998364373512,0.0,0.0,0.0,1.0,1.0853508275837491
2006-06-30,0.04847723136649429,0.0,0.0,0.0,1.0,1.1379656307663426
2006-07-31,0.042532382768186716,0.0,0.0,0.0,1.0,1.1863660205511377
2006-08-31,0.03922333364593045,0.0,0.0,0.0,1.0,1.2328992508014098
2006-09-30,0.012373177688780101,0.0,0.0,0.0,1.0,1.2481541323039396
2006-10-31,0.13333405531292675,0.0,0.0,0.0,1.0,1.414575584419611
2006-11-30,0.05258329798984129,0.0,0.0,0.0,1.0,1.4889586339043013
2006-12-31,0.02101302010392625,0.0,0.0,0.0,1.0,1.520246151612447
2007-01-31,0.040978194042085914,0.0,0.0,0.0,1.0,1.5825430934049562
2007-02-28,0.050516802239924274,0.0,0.0,0.0,1.0,1.6624881098906523
2007-03-31,0.03502575031502042,0.0,0.0,0.0,1.0,1.7207180033293725
2007-04-30,0.05231322962221552,0.0,0.0,0.0,1.0,1.8107343193526222
2007-05-31,-0.006835536395047304,0.0,-0.0,-0.0,1.0,1.7983569790109262
2007-06-30,-0.1064946429264122,0.0,-0.0,-0.0,1.0,1.6068415946769363
2007-07-31,0.017448149461511075,0.0,0.0,0.0,1.0,1.6348780069818323
2007-08-31,0.026577659335692116,0.0,0.0,0.0,1.0,1.6783292377068106
2007-09-30,0.03467071187404436,0.0,0.0,0.0,1.0,1.736518107137128
2007-10-31,0.12384996245697422,0.0,0.0,0.0,1.0,1.9515858095119174
2007-11-30,0.025775059381502485,0.0,0.0,0.0,1.0,2.0018880496401845
2007-12-31,-0.02838289881027367,0.0,-0.0,-0.0,1.0,1.945068663697751
2008-01-31,-0.05060461537698935,0.0,-0.0,-0.0,1.0,1.8466392120894917
2008-02-29,-0.056619112534904925,0.0,-0.0,-0.0,1.0,1.7420841387288286
2008-03-31,0.040636998566344174,0.0,0.0,0.0,1.0,1.8128772093768029
2008-04-30,0.05658265940125995,0.0,0.0,0.0,1.0,1.915454623051277
2008-05-31,0.018554749667907267,0.0,0.0,0.0,1.0,1.950995404082229
2008-06-30,-0.022120344106084988,0.0,-0.0,-0.0,1.0,1.90783871439454
2008-07-31,-0.01601072012220761,0.0,-0.0,-0.0,1.0,1.8772928427000566
2008-08-31,-0.06241074486553566,0.0,-0.0,-0.0,1.0,1.7601295980564071
2008-09-30,-0.16250452721678954,0.0,-0.0,-0.0,1.0,1.4741005698839729
2008-10-31,-0.06083484954755958,0.0,-0.0,-0.0,1.0,1.3844238834971097
2008-11-30,0.04176209337434633,0.0,0.0,0.0,1.0,1.4422403229893912
2008-12-31,0.03219880942791731,0.0,0.0,0.0,1.0,1.4886787442985845
2009-01-31,0.024239781263391658,0.0,0.0,0.0,1.0,1.5247639914318427
2009-02-28,-0.11210602316484075,0.0,-0.0,-0.0,1.0,1.3538287640874695
2009-03-31,0.11912603109565678,0.0,0.0,0.0,1.0,1.515105011536348
2009-04-30,0.06031966075544548,0.0,0.0,0.0,1.0,1.606495631841096
2009-05-31,0.05093898393164453,0.0,0.0,0.0,1.0,1.6883288870177067
2009-06-30,0.014152303998853366,0.0,0.0,0.0,1.0,1.7122226306768271
2009-07-31,-0.003341522994280144,0.0,-0.0,-0.0,1.0,1.7065011993850936
